year,month,site_name,origin,budget
2025,1,شبرا الخيمة,Pharma,3337237.1
2025,2,شبرا الخيمة,Pharma,3064682.0
2025,3,شبرا الخيمة,Pharma,3284058.0
2025,4,شبرا الخيمة,Pharma,3430028.2
2025,5,شبرا الخيمة,Pharma,3681944.4
2025,6,شبرا الخيمة,Pharma,3619290.2
2025,7,شبرا الخيمة,Pharma,3716106.6
2025,8,شبرا الخيمة,Pharma,3433478.8
2025,9,شبرا الخيمة,Pharma,3188277.6
2025,10,شبرا الخيمة,Pharma,3707991.7
2025,11,شبرا الخيمة,Pharma,3798737.9
2025,12,شبرا الخيمة,Pharma,3916646.1
2025,1,شبرا الخيمة,Non-pharma,769340.1
2025,2,شبرا الخيمة,Non-pharma,762598.8
2025,3,شبرا الخيمة,Non-pharma,1083616.5
2025,4,شبرا الخيمة,Non-pharma,1143406.2
2025,5,شبرا الخيمة,Non-pharma,1350000.0
2025,6,شبرا الخيمة,Non-pharma,1450175.9
2025,7,شبرا الخيمة,Non-pharma,1582859.0
2025,8,شبرا الخيمة,Non-pharma,1389854.5
2025,9,شبرا الخيمة,Non-pharma,940920.6
2025,10,شبرا الخيمة,Non-pharma,1076298.7
2025,11,شبرا الخيمة,Non-pharma,1419061.9
2025,12,شبرا الخيمة,Non-pharma,983352.7
2025,1,شبرا الخيمة,HVI,181115.2
2025,2,شبرا الخيمة,HVI,188890.0
2025,3,شبرا الخيمة,HVI,253691.6
2025,4,شبرا الخيمة,HVI,162197.2
2025,5,شبرا الخيمة,HVI,457503.3
2025,6,شبرا الخيمة,HVI,135088.0
2025,7,شبرا الخيمة,HVI,147650.8
2025,8,شبرا الخيمة,HVI,143107.3
2025,9,شبرا الخيمة,HVI,254661.6
2025,10,شبرا الخيمة,HVI,305623.5
2025,11,شبرا الخيمة,HVI,500683.1
2025,12,شبرا الخيمة,HVI,745898.4
2025,1,الترعه البولاقيه,Pharma,1295182.0
2025,2,الترعه البولاقيه,Pharma,1128433.7
2025,3,الترعه البولاقيه,Pharma,1062135.3
2025,4,الترعه البولاقيه,Pharma,1126095.1
2025,5,الترعه البولاقيه,Pharma,1000035.3
2025,6,الترعه البولاقيه,Pharma,938215.0
2025,7,الترعه البولاقيه,Pharma,1129442.4
2025,8,الترعه البولاقيه,Pharma,1046643.4
2025,9,الترعه البولاقيه,Pharma,1107780.1
2025,10,الترعه البولاقيه,Pharma,986499.4
2025,11,الترعه البولاقيه,Pharma,980755.4
2025,12,الترعه البولاقيه,Pharma,1011196.9
2025,1,الترعه البولاقيه,Non-pharma,81036.2
2025,2,الترعه البولاقيه,Non-pharma,84620.8
2025,3,الترعه البولاقيه,Non-pharma,80644.5
2025,4,الترعه البولاقيه,Non-pharma,89346.1
2025,5,الترعه البولاقيه,Non-pharma,94376.5
2025,6,الترعه البولاقيه,Non-pharma,73284.0
2025,7,الترعه البولاقيه,Non-pharma,81079.2
2025,8,الترعه البولاقيه,Non-pharma,79332.9
2025,9,الترعه البولاقيه,Non-pharma,70816.4
2025,10,الترعه البولاقيه,Non-pharma,67325.0
2025,11,الترعه البولاقيه,Non-pharma,70982.8
2025,12,الترعه البولاقيه,Non-pharma,43071.7
2025,1,الترعه البولاقيه,HVI,14113.0
2025,2,الترعه البولاقيه,HVI,14718.8
2025,3,الترعه البولاقيه,HVI,12034.4
2025,4,الترعه البولاقيه,HVI,7023.3
2025,5,الترعه البولاقيه,HVI,13162.6
2025,6,الترعه البولاقيه,HVI,0.0
2025,7,الترعه البولاقيه,HVI,0.0
2025,8,الترعه البولاقيه,HVI,0.0
2025,9,الترعه البولاقيه,HVI,45198.6
2025,10,الترعه البولاقيه,HVI,0.0
2025,11,الترعه البولاقيه,HVI,0.0
2025,12,الترعه البولاقيه,HVI,0.0
